AQI_Value,CO_AQI_Value,Ozone_AQI_Value,NO2_AQI_Value,PM2.5_AQI_Value,latitude,Liquefied_Natural_Gas
56,1,48,0,56,50.7592,7.005
35,1,23,2,35,47.4167,8.3667
55,0,22,0,55,12.9563,78.2754
92,2,40,1,92,8.7,-0.1333
158,1,44,0,158,26.8422,68.1228
58,1,32,0,58,8.4364,99.9631
37,1,15,10,37,45.1472,-122.8603
79,1,25,3,79,35.4483,-94.3528
74,1,4,4,74,-34.7617,-56.2233
34,0,27,1,34,-6.77,-37.8019
47,1,47,2,34,42.1382,-72.7561
57,2,16,12,57,34.0336,-117.0429
57,1,43,0,57,53.7167,91.4667
87,1,17,1,87,7.0667,125.6
73,1,73,0,56,40.6667,14.4333
160,1,44,0,160,22.07,81.68
67,1,39,2,67,38.2833,15.8167
84,3,2,7,84,17.1656,-99.5264
43,1,19,4,43,44.9609,-74.8339
45,1,16,0,45,0.15,29.2833
64,1,40,2,64,50.3667,8.75
56,1,31,3,56,43.0407,-76.1437
117,4,14,7,117,-29.8167,27.25
179,9,5,25,179,-11.9361,-76.6972
68,1,68,0,61,47.6167,17.25
40,1,18,7,40,28.0694,-80.6736
46,1,46,2,35,40.1899,-75.3522
48,1,35,3,48,41.077,-111.962
196,1,43,0,196,26.5,78.0
67,1,27,4,67,48.2556,7.8119
116,3,11,31,116,40.7928,-74.0049
38,1,38,0,28,38.5986,-0.0519
61,1,20,3,61,35.2134,-94.2408
50,1,29,9,50,42.9619,-88.0052
76,2,36,7,76,40.8668,-82.3156
40,0,28,2,40,52.2054,9.96
85,1,29,1,85,16.0197,80.92
61,1,33,2,61,37.75,15.2
171,3,96,4,171,24.8365,81.3645
64,1,44,2,64,40.8151,111.6629
45,1,45,1,40,35.8899,140.6645
52,1,39,3,52,33.1586,-94.9727
54,1,19,0,54,8.9534,125.5288
38,0,13,2,38,-8.2828,-35.9758
163,2,87,1,163,21.9,87.53
47,1,37,1,47,51.7067,10.0011
55,1,36,4,55,43.4186,-80.4728
41,1,20,0,41,-23.5328,-49.2439
38,1,38,0,32,36.8453,-2.9469
46,1,46,2,31,40.9,-73.8063
100,3,1,29,100,33.7489,-84.2599
35,0,35,1,27,52.0822,4.7504
173,1,61,2,173,27.5868,68.001
132,1,24,0,132,11.7,125.0167
156,1,28,0,156,12.5,39.5167
69,1,16,8,69,32.4355,-111.1558
25,0,25,0,22,-18.34,29.9
39,1,39,1,9,54.4333,43.8
124,4,7,34,124,34.0829,-117.9722
34,0,34,0,33,54.8333,11.15
244,1,46,0,244,27.4,74.92
90,1,46,0,90,41.5833,12.65
64,2,9,14,64,34.0323,-80.9716
56,0,27,0,56,10.0283,77.5809
39,1,39,3,26,36.5244,-119.5602
53,1,30,2,53,45.1089,-93.4626
156,6,1,18,156,27.3328,103.7144
55,1,17,10,55,51.5667,6.7333
37,1,37,0,29,39.0148,139.9088
90,1,19,0,90,11.08,-12.401
59,1,27,7,59,28.9594,-80.9406
60,1,48,2,60,36.0269,139.5302
83,2,2,14,83,10.0126,-84.1119
30,1,19,0,30,-17.9619,122.2361
36,1,32,0,36,56.6833,124.6667
43,1,28,0,43,-34.5997,-58.3819
65,2,29,1,65,13.0622,5.2339
54,1,24,9,54,39.0622,-77.4985
47,1,34,3,47,42.8901,-97.3927
52,1,16,11,52,45.5021,-122.4413
57,1,30,1,57,14.5864,100.9967
63,1,40,3,63,52.8667,9.5833
32,1,32,0,9,52.2681,-113.8111
53,1,11,13,53,29.9777,-95.1953
50,1,34,6,50,32.7331,-117.0344
44,1,44,1,32,43.4847,44.5881
53,1,31,3,53,49.4736,8.6592
73,1,42,2,73,45.0809,11.794
42,1,35,6,42,39.7953,-93.5499
38,1,19,0,38,8.1892,124.0238
54,1,28,6,54,47.1793,-122.2902
71,1,71,1,14,27.4612,-82.5822
65,1,60,0,65,48.895,8.705
39,1,39,2,38,35.9794,140.1496
201,5,201,4,159,35.2333,115.4333
36,1,31,3,36,51.9833,5.85
65,2,0,5,65,-21.1869,-43.9758
71,1,50,0,71,43.2289,13.1771
83,1,54,0,83,45.7753,12.0389
57,1,27,1,57,14.8112,-91.4555
45,1,11,2,45,-42.0667,145.55
58,1,20,6,58,33.1434,-97.0682
46,1,46,0,36,35.3,135.1333
38,1,38,1,12,55.4889,60.8758
60,1,44,0,60,41.85,60.4
19,0,18,0,19,-22.4333,18.9667
51,1,12,11,51,30.1738,-95.5134
38,1,38,0,27,51.9681,12.0844
46,1,26,3,46,50.9667,11.9
61,1,36,10,61,38.3426,-81.7155
30,0,30,2,26,48.8086,9.2758
95,3,7,10,95,2.4903,-78.4953
77,1,35,3,77,44.0,22.8667
68,2,20,15,68,41.5906,-88.0293
61,1,47,0,61,49.2556,2.4383
48,1,11,3,48,20.3,-103.2833
35,1,35,1,19,45.5,8.65
60,1,60,0,21,34.2,129.2833
73,2,1,8,73,20.7754,-103.6935
35,1,35,1,33,34.0746,-98.5672
53,1,39,4,53,44.7466,-93.0661
36,1,34,4,36,41.639,-93.7812
41,1,41,2,16,43.9452,10.2183
34,1,34,1,15,43.0019,-4.1378
62,1,38,1,62,26.3081,87.8833
64,1,24,0,64,7.5942,-74.8119
84,2,36,4,84,45.7833,12.8333
55,1,46,2,55,38.8192,-94.5335
173,1,42,0,173,54.4833,30.3333
52,2,22,13,52,39.7014,-75.1113
28,0,22,0,28,19.1833,-70.1
224,4,0,15,224,18.9608,-99.5906
117,1,117,1,78,34.62,71.97
47,1,47,0,31,41.2667,13.75
57,1,23,7,57,37.0505,140.8877
59,1,32,3,59,50.3286,3.395
79,2,5,13,79,-16.7795,-60.6799
59,2,0,4,59,5.933,-73.621
43,1,43,0,15,33.9836,-117.6654
51,1,22,9,51,43.3167,-79.8
61,1,21,4,61,32.8497,-104.4268
40,1,38,3,40,52.6,4.7167
98,4,9,8,98,15.1,-92.5333
29,0,29,2,28,48.7881,9.9333
87,2,6,7,87,14.6338,-90.6146
49,1,20,6,49,41.65,-0.8833
134,1,41,0,134,16.3,80.2667
29,0,29,0,20,-29.9531,-71.3433
36,1,23,5,36,51.1667,5.15
58,1,31,3,58,47.768,-116.804
41,1,37,2,41,41.6963,-93.0403
40,1,40,0,25,42.5683,27.6167
16,1,3,0,16,-4.8828,-66.8958
106,3,2,8,106,6.3333,-75.5667
41,2,40,4,41,41.7667,15.4333
88,2,6,28,88,41.6459,-81.4084
67,2,21,16,67,40.0706,-82.425
61,1,21,4,61,32.7817,-97.3474
46,1,46,2,38,44.2733,9.3932
47,2,21,6,47,47.7,8.6333
34,0,34,1,18,51.34,0.74
58,2,25,11,58,47.3887,-122.2128
44,0,17,0,44,-18.3647,26.5
157,5,89,15,157,35.7639,115.03
45,1,45,1,25,38.8122,-94.9275
32,0,32,1,26,26.32,127.7639
108,4,5,14,108,14.5428,-91.3288
50,2,50,1,40,45.1715,5.7224
31,1,28,1,31,55.3667,23.1167
45,1,32,7,45,39.7805,-84.2003
29,0,12,1,29,-26.1769,-50.39
50,1,16,10,50,43.6314,-88.7381
41,0,22,2,41,31.1068,-97.3891
53,1,31,6,53,45.0377,-93.3599
42,1,42,0,27,36.6,-4.6333
24,0,24,1,19,25.1224,-80.412
43,1,29,0,43,9.97,77.8
64,1,37,2,64,45.7456,11.6553
38,1,37,1,38,55.4986,9.7444
195,10,25,10,195,-6.8205,30.4389
171,1,67,0,171,22.6996,85.9313
91,2,6,10,91,-29.6778,-51.1308
36,0,33,1,36,51.9667,5.6667
63,2,18,16,63,42.118,-70.959
78,2,30,0,78,0.4233,33.2039
146,0,32,0,146,21.05,75.05
72,0,23,0,72,13.9853,74.5553
48,1,48,0,19,33.8938,130.6639
35,1,35,0,31,50.7356,2.2372
36,1,12,0,36,6.4667,12.6333
82,2,9,30,82,41.8829,-87.8762
49,1,20,10,49,45.6366,-122.5967
57,1,28,3,57,48.98,9.5814
37,1,37,0,20,43.7,16.6333
42,1,33,1,42,50.4547,-104.6067
57,1,37,4,57,51.2333,3.75
51,0,21,0,51,13.3611,100.985
42,1,42,1,25,36.3028,136.315
72,1,46,0,72,36.1511,49.2244
19,0,19,0,17,-17.5039,24.275
87,1,39,2,87,45.4674,7.8748
35,0,35,0,22,26.6194,-81.8302
22,0,19,0,22,-1.1958,-47.1808
51,1,18,1,51,-29.8608,-51.1789
48,1,32,3,48,37.2802,-121.9539
39,1,39,0,28,38.7272,139.8267
52,1,29,3,52,49.3167,7.05
126,4,3,36,126,41.7641,-87.9454
41,1,41,3,36,41.1528,15.0889
69,1,69,2,45,35.25,139.6667
66,2,9,20,66,44.1154,-123.1344
60,1,33,0,60,50.8331,25.4614
46,1,31,7,46,42.5977,-82.8821
37,2,37,5,28,36.5224,-82.5454
33,1,10,1,33,-18.5928,-48.705
57,1,2,18,57,-37.6833,144.5833
73,1,7,5,73,11.4833,104.95
48,1,29,8,48,41.4459,-74.4236
68,1,36,3,68,49.9667,8.95
185,7,24,13,185,60.1167,24.4167
50,1,32,1,50,56.1,47.7167
50,2,4,6,50,43.194,-112.3454
212,14,21,17,212,-25.6344,27.7811
30,0,30,0,29,56.5,31.65
53,1,30,7,53,50.3714,-4.1422
39,1,39,0,15,64.075,24.5333
50,1,24,0,50,-24.8928,-52.2028
60,1,24,4,60,33.0362,-96.5161
38,0,33,1,38,52.1667,9.25
57,1,57,0,37,40.7333,17.5833
42,1,42,1,17,38.8333,-9.1667
90,4,2,11,90,14.0858,-90.3822
28,1,28,4,22,40.7023,-80.3677
99,3,0,8,99,4.7531,-73.92
56,1,39,1,56,44.3623,-98.2094
55,1,47,3,55,41.7102,-72.1671
33,1,33,1,27,51.7833,21.2
83,3,6,30,83,42.1039,-87.9267
61,1,18,6,61,41.6168,-87.4909
83,3,23,15,83,35.8817,14.3989
34,1,34,0,3,65.0142,25.4719
42,1,42,3,40,43.6,10.9667
26,0,25,0,26,36.0436,14.2431
66,3,4,11,66,40.8323,-74.2431
73,2,15,6,73,14.7029,-90.5
20,0,16,0,20,-6.8719,-36.9189
50,1,24,2,50,-22.8789,-42.0189
71,1,44,5,71,41.7658,-71.4858
42,1,30,9,42,39.3266,-76.5084
68,3,21,23,68,39.8639,-74.8231
66,1,29,7,66,41.6083,2.2889
59,2,21,4,59,47.4694,7.5942
57,1,57,0,27,36.4572,9.2483
44,1,44,1,34,41.4844,14.0458
124,4,5,33,124,34.1386,-117.9124
47,1,36,4,47,43.5489,-89.4658
157,5,23,1,157,0.5694,33.7486
64,1,31,4,64,45.4161,10.3917
152,4,12,28,152,34.0326,-118.1691
43,1,43,3,30,41.8333,12.9
33,1,33,0,29,56.3367,46.5711
50,1,37,1,50,41.7686,140.7289
74,2,24,3,74,19.2833,-72.5
55,2,28,11,55,40.4281,-74.4179
36,1,25,3,36,50.9119,13.3428
44,1,27,0,44,19.1833,-102.85
73,1,37,5,73,39.916,-75.0758
58,1,37,2,58,47.9181,13.7994
43,1,28,0,43,16.4342,103.5092
49,1,12,11,49,51.6154,-0.0708
124,1,124,0,75,33.9042,73.3903
52,2,17,11,52,35.9046,-77.5563
57,1,18,10,57,34.8807,-92.1304
52,1,40,1,52,51.5247,6.9228
45,1,45,1,20,41.0,16.8667
50,2,50,4,47,32.4597,-86.4573
151,4,43,4,151,35.4164,119.4331
94,3,9,11,94,14.8833,-91.5167
59,1,31,1,59,47.1906,7.3964
138,3,135,2,138,23.4333,87.2833
36,1,36,7,24,36.6778,-76.3023
66,1,29,11,66,37.6256,-122.4313
76,1,39,1,76,51.0667,19.45
29,0,29,1,24,32.128,131.5033
31,0,30,0,31,54.1833,49.5833
35,1,24,0,35,-19.2239,-44.935
38,0,38,0,19,45.6231,-1.0431
43,1,43,1,35,41.2004,1.5693
53,1,30,9,53,39.2365,-76.6659
36,1,36,0,23,50.4578,40.1081
64,1,45,1,64,50.15,18.75
47,1,38,2,47,51.1667,4.3
21,0,4,0,21,-6.2167,-77.85
68,1,24,3,68,24.7656,-107.7019
71,3,8,16,71,41.6827,-71.2694
72,2,20,6,72,48.755,2.3221
37,1,33,5,37,42.9821,-82.4388
51,1,51,0,49,37.3167,13.5833
58,2,1,5,58,-13.2606,-64.0528
54,1,24,9,54,40.7959,-74.4945
71,1,31,2,71,36.0091,-96.1003
36,0,29,2,36,50.9167,3.4333
49,1,25,11,49,47.7921,-122.3077
49,1,49,0,25,32.9333,132.7167
47,1,16,2,47,15.9186,-85.9533
38,1,30,3,38,51.2931,4.4894
41,1,28,3,41,51.0833,4.9167
40,1,40,0,35,42.1,1.8456
43,1,43,0,14,59.8086,10.6556
53,1,10,1,53,8.3133,-73.8719
41,1,41,0,40,53.2158,-6.6669
73,1,23,1,73,14.9281,121.0293
53,0,16,0,53,8.1669,99.6745
53,1,28,3,53,24.0559,-98.3733
44,1,44,0,42,51.9033,11.7758
23,1,21,1,23,7.1636,-75.4392
64,1,19,5,64,32.6998,-97.125
65,2,18,3,65,12.2842,-85.5106
48,1,29,8,48,40.3892,-74.082
30,1,16,2,30,-29.225,-51.3478
40,1,37,2,40,43.5396,-96.7311
44,1,44,1,43,40.557,-111.9784
46,1,46,0,16,39.4,16.15
26,1,8,4,26,18.81,-71.23
53,1,23,1,53,14.1833,121.2833
105,3,18,1,105,0.3833,32.9242
80,1,29,1,80,47.0667,7.3
38,2,15,2,38,13.0833,-1.0833
41,0,31,2,41,54.7333,37.1833
44,1,21,8,44,42.0859,-80.1194
153,1,22,1,153,13.1833,-16.7667
58,2,22,12,58,28.7672,-81.8962
61,1,15,3,61,-6.9,112.05
43,0,25,0,43,15.2229,102.494
52,1,27,12,52,40.8211,-73.2109
19,0,19,0,15,-33.75,-61.9667
79,1,79,3,34,39.0334,-84.5166
126,4,27,6,126,26.4959,90.703
39,1,23,6,39,52.2167,5.9667
29,1,21,2,29,38.0497,-1.6706
29,0,27,2,29,51.759,-0.015
50,1,38,4,50,38.7268,-89.8977
30,1,30,3,29,53.2,5.7833
56,1,50,0,56,50.6497,8.7044
56,1,45,0,56,50.3833,116.5167
71,2,2,5,71,37.24,-5.99
39,1,39,1,38,43.95,43.6333
52,1,32,5,52,38.8052,-76.9199
59,1,13,2,59,18.1875,-65.968
41,1,38,2,41,42.5002,-90.707
46,1,46,1,41,39.3571,-84.3023
63,1,34,5,63,51.0536,3.7253
57,1,23,2,57,47.35,11.7
52,1,52,1,43,33.9447,-118.1926
52,1,24,11,52,37.7269,-121.4523
23,1,23,0,12,65.6833,-18.1
65,2,11,5,65,15.4257,-90.3263
28,1,28,1,13,61.7833,34.35
99,3,0,8,99,-32.7867,-71.1972
68,1,39,3,68,48.1667,11.8167
61,2,33,6,61,40.1533,-76.599
43,1,41,1,43,40.1112,-83.1454
51,1,30,0,51,59.0667,60.6
107,3,0,11,107,14.0333,-88.9333
42,1,34,2,42,51.6667,8.35
65,1,46,3,65,31.6667,34.5667
38,1,29,8,38,39.3944,-76.619
54,1,31,6,54,39.073,-77.001
43,1,43,1,17,34.7833,135.4667
82,1,19,1,82,22.8106,-81.1981
56,1,30,0,56,17.4692,104.102
60,2,19,15,60,41.6759,-72.7862
59,1,13,2,59,-21.4167,-64.7494
72,2,38,0,72,6.3249,8.1137
63,1,53,0,63,49.65,10.0667
25,0,25,0,20,-19.4,46.95
40,1,34,1,40,53.259,-1.911
45,1,45,2,31,39.8993,-79.7246
19,1,13,2,19,48.005,-66.6731
196,1,44,1,196,24.6333,46.7167
110,2,17,7,110,11.1856,124.9161
53,0,37,0,53,47.8666,88.1166
183,2,18,3,183,14.95,-16.8167
43,1,39,3,43,41.3852,-82.0195
51,1,33,1,51,50.7583,37.8736
63,1,40,0,63,47.215,14.8294
30,0,30,1,28,50.1333,8.4
138,4,13,23,138,43.2408,-77.314
42,1,42,0,19,44.7444,-0.6822
41,1,41,0,30,53.4597,-6.2181
167,1,38,0,167,23.0743,78.5111
45,1,45,0,20,38.0442,140.8676
50,1,41,3,50,49.1347,10.0706
50,1,25,4,50,50.4197,2.8622
17,0,16,0,17,7.5783,123.1659
48,1,46,1,48,31.3074,-89.317
36,1,36,1,24,61.8681,28.8861
33,1,23,4,33,41.1333,-8.5667
77,1,17,4,77,7.4833,80.3667
90,2,5,3,90,-25.51,-57.56
61,2,30,8,61,35.8813,-80.0807
128,1,30,0,128,19.27,76.78
60,2,30,7,60,40.4333,-8.7333
59,2,1,5,59,-21.5517,-45.43
37,1,12,1,37,13.9311,121.4233
66,1,35,3,66,47.4907,18.6363
162,5,17,15,162,60.1708,24.9375
64,2,27,10,64,41.102,-87.8643
55,1,42,1,55,50.4088,3.8906
118,1,31,3,118,19.1,-70.1681
34,1,29,1,34,58.05,38.8333
30,0,30,1,27,50.1833,8.5
161,5,41,9,161,32.3463,74.8999
78,2,78,1,33,40.2489,-75.158
31,0,31,1,31,53.3333,8.4833
61,3,21,1,61,-2.9083,29.8269
53,1,28,10,53,39.4792,-84.462
248,2,149,1,248,32.0714,73.6878
43,1,43,1,26,37.4004,140.3597
47,1,47,1,30,44.7686,39.8733
42,1,28,4,42,26.516,-81.9601
40,1,40,2,35,35.8333,140.15
41,1,15,9,41,52.7858,-0.1529
44,1,30,1,44,47.85,16.5167
77,2,17,21,77,40.8509,-73.9713
45,1,41,10,45,34.7114,-86.7626
32,0,32,2,28,51.4167,4.3333
12,0,9,0,12,-17.9799,-67.13
54,1,46,0,54,36.2464,46.2664
161,3,161,1,116,28.8523,121.1409
72,3,0,10,72,42.3666,-89.0266
29,1,28,4,29,56.0333,39.9667
53,1,30,5,53,32.7194,-96.6151
33,0,33,0,17,54.5181,9.5703
36,0,21,1,36,28.4053,-97.749
32,1,32,0,15,55.8267,94.3153
35,1,35,0,32,55.9533,-3.1892
54,1,33,2,54,56.7803,62.0494
29,0,29,1,26,49.4539,11.0775
68,1,67,0,68,48.0833,11.9667
31,0,31,0,10,-37.05,143.735
99,2,18,8,99,30.0731,-90.4758
62,1,43,0,62,38.4942,43.38
43,1,34,3,43,55.7964,49.1089
60,1,35,2,60,44.455,-93.1698
96,1,24,3,96,42.842,-106.3208
46,1,31,0,46,43.0427,-85.6016
112,2,38,4,112,13.3214,79.5856
45,1,45,2,31,39.7709,-89.654
63,1,23,16,63,38.7916,-77.074
28,1,27,2,28,49.2992,6.1097
77,1,46,0,77,42.2017,22.3317
58,1,58,0,54,46.4319,19.4883
34,1,18,3,34,37.25,15.2167
73,0,24,0,73,15.6406,75.9531
49,1,21,12,49,53.3333,83.75
23,1,23,6,18,60.4,25.1
96,3,23,13,96,39.0886,-108.6582
97,4,97,5,79,38.9,121.6
44,1,23,0,44,15.0833,-90.4917
51,1,41,3,51,32.3157,-90.2125
31,1,31,1,29,62.7333,22.5833
104,3,5,17,104,13.5167,-88.3833
34,1,26,3,34,48.8692,2.4181
67,0,42,0,67,28.5,53.5606
53,1,48,0,53,50.7333,12.3833
68,1,38,4,68,49.9,8.6
43,1,18,0,43,-25.0333,33.1
37,1,37,1,24,52.1,9.3667
41,1,41,1,37,33.9619,131.9422
46,1,26,2,46,31.2108,-82.3579
53,1,30,0,53,10.1819,-67.5025
30,1,30,0,16,58.4,33.9167
59,1,25,2,59,22.8136,-82.7633
55,1,28,5,55,40.3139,-75.834
50,1,34,2,50,40.4985,-74.674
97,1,25,10,97,48.4878,-122.6292
42,1,42,2,30,43.4244,-70.7573
62,1,18,13,62,37.6862,-122.4685
38,1,26,3,38,50.6056,3.3881
46,1,29,9,46,40.5611,-74.2943
226,1,48,1,226,25.55,82.1
75,2,71,1,75,25.8564,87.5384
32,0,29,2,32,51.15,11.8167
79,1,73,2,79,38.5325,-90.2845
48,0,25,0,48,13.6983,123.4889
31,1,17,0,31,6.5,124.85
32,1,32,0,21,56.65,66.2833
93,2,17,7,93,33.135,-117.1743
40,1,28,4,40,51.8306,4.9742
36,1,26,5,36,36.5417,-4.625
29,0,22,0,29,14.0833,98.2
140,1,38,0,140,18.6162,79.3832
44,1,44,0,30,34.4367,35.8344
46,1,30,3,46,41.135,-104.7902
56,2,35,1,56,43.8,131.9667
50,1,13,2,50,19.9147,-100.0036
58,1,55,0,58,47.4659,8.3267
87,1,41,0,87,46.1954,9.0297
53,1,31,6,53,52.3931,-0.7229
97,2,4,7,97,-20.2528,-43.8008
31,0,31,0,8,43.7706,142.365
24,0,24,2,17,-41.2889,174.7772
64,1,64,0,57,47.0264,19.5578
53,1,1,2,53,-4.225,-44.78
51,1,22,10,51,37.9985,-122.1161
32,0,18,0,32,-6.35,31.0667
51,1,22,6,51,47.9242,9.2567
153,7,6,9,153,-27.9831,26.7208
37,0,37,0,15,41.45,-8.1667
62,2,11,16,62,45.3109,-122.7702
113,3,80,5,113,33.2075,35.5697
59,1,13,2,59,-28.12,-58.77
71,1,71,2,33,35.7224,140.0999
40,1,40,0,8,54.4333,53.8167
38,1,38,0,35,52.7344,4.7706
37,1,37,1,25,52.0272,8.9117
83,2,13,3,83,38.5788,-90.4203
58,1,43,1,58,49.3419,1.0914
61,2,33,3,61,-22.8389,-42.2289
65,2,18,0,65,-19.5239,45.4573
53,0,22,0,53,13.3122,76.941
53,1,45,1,53,34.9078,-76.8987
61,1,21,7,61,32.6616,-114.3974
72,2,38,0,72,7.0833,4.8333
28,1,18,3,28,-37.8,-72.7167
68,1,39,3,68,48.105,11.7706
45,1,41,3,45,43.3972,-70.5707
186,9,6,21,186,22.4828,88.1818
33,1,33,0,14,42.6341,141.6055
50,1,50,1,27,38.309,-85.8234
38,1,23,3,38,43.9,-78.85
37,1,28,3,37,51.0,4.2
38,1,24,3,38,49.0,9.7667
52,1,16,0,52,40.05,-8.6333
57,2,36,10,57,22.2667,-101.9833
30,0,18,0,30,-1.2969,-47.9219
32,0,16,0,32,-4.255,-43.9408
53,0,31,1,53,53.725,-1.863
29,0,21,0,29,-19.8008,-41.7128
134,1,24,0,134,18.4382,-67.1537
89,1,9,14,89,25.6697,-80.3556
